location,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia
Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium
Brazil,Brazil,Belgium,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil
Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada
Croatia,Belgium,Belgium,Germany,Czech Republic,Germany,Germany,Germany,Germany,Germany,Germany,Croatia,Croatia
Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark
England,England,England,England,England,England,England,England,England,England,England,England,England
Finland,Belgium,Germany,Finland,Germany,Finland,Germany,Germany,Finland,Finland,Finland,Finland,Finland
France,Belgium,Belgium,France,Belgium,France,Germany,Belgium,Belgium,Belgium,Belgium,France,France
Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
Iceland,Belgium,"United States, New York",Belgium,Iceland,Iceland,Belgium,Iceland,Iceland,Iceland,Iceland,Belgium,Iceland
Ireland,Ireland,Ireland,Belgium,Canada,Canada,England,England,England,Ireland,Ireland,Ireland,Ireland
Italy,Belgium,Italy,Belgium,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy
Luxembourg,England,England,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium
Netherlands,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands
New Zealand,England,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand
Northern Ireland,England,England,England,England,England,England,England,England,England,England,England,Ireland
Norway,Norway,Denmark,Denmark,Norway,Denmark,Norway,Norway,Norway,Norway,Norway,Norway,Norway
Poland,Poland,Canada,Poland,Germany,Canada,Belgium,Germany,Poland,Poland,Poland,Poland,Poland
Scotland,England,England,England,England,England,England,England,England,England,England,England,England
Spain,Belgium,Belgium,Belgium,England,England,England,Spain,Spain,Spain,Spain,Spain,Spain
Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden
